fold,auroc,auprc,acc
1,0.9373684210526315,0.9544701035459493,0.8940397350993378
2,0.9117543859649122,0.9103744807078723,0.8344370860927153
3,0.930701754385965,0.9282968426688383,0.847682119205298
4,0.9468421052631579,0.9489138608062626,0.8940397350993378
5,0.9601754385964911,0.9599444939191236,0.8940397350993378
6,0.9489473684210528,0.9404928093840798,0.8874172185430463
7,0.9447368421052632,0.9346678491240952,0.8675496688741722
8,0.9370175438596491,0.9478127915939172,0.8807947019867549
9,0.958421052631579,0.9489657033464827,0.9006622516556292
10,0.9240350877192983,0.8839188377704333,0.8543046357615894
